,frame_idx,x1,y1,x2,y2,cx,cy,confidence,nearest_to_ball,dist_to_ball
160,100118,1138,349,1288,677,1213,513,0.8707617,False,178.67568385205638
161,100118,758,546,962,902,860,724,0.86863464,False,510.5536210820564
162,100118,965,334,1114,671,1039,502,0.85810405,False,339.69986753014786
163,100118,488,524,586,884,537,704,0.8024486,False,826.6970424526751
164,100118,1374,474,1451,830,1412,652,0.7852158,True,64.07027391856539
165,100118,1719,238,1803,560,1761,399,0.742361,False,456.8292897790158
166,100118,498,339,592,601,545,470,0.71158767,False,826.9897218224662
167,100118,812,416,910,654,861,535,0.7095144,False,504.54434889313745
168,100118,1291,821,1427,1075,1359,948,0.7002053,False,332.0
169,100118,869,234,998,442,933,338,0.666678,False,508.68457810316994
170,100118,1783,816,1881,1076,1832,946,0.6147406,False,576.7399760724065
171,100118,1593,223,1703,493,1648,358,0.58590007,False,387.40805360756247
172,100118,692,212,815,431,753,321,0.5831708,False,673.9888723117022
173,100118,1400,280,1509,466,1454,373,0.52923405,False,260.90994615000784
174,100119,1138,348,1287,677,1212,512,0.8730873,False,180.00555546982432
175,100119,758,547,959,902,858,724,0.86695355,False,515.1019316601327
176,100119,965,334,1114,671,1039,502,0.85990673,False,340.5950674921761
177,100119,1373,475,1452,830,1412,652,0.7980329,True,64.20280367709809
178,100119,492,527,586,884,539,705,0.78161967,False,827.1323956900733
179,100119,1293,820,1428,1076,1360,948,0.7454435,False,335.0014925339886
180,100119,812,416,910,657,861,536,0.7441478,False,505.8942577258611
181,100119,498,340,592,618,545,479,0.7361172,False,826.9292593686597
182,100119,1723,238,1805,560,1764,399,0.72700405,False,456.29486080822784
183,100119,869,234,998,443,933,338,0.66956997,False,508.73273926493073
184,100119,1787,816,1885,1077,1836,946,0.63354355,False,580.0982675374923
185,100119,1593,222,1705,493,1649,357,0.5845376,False,385.33102652135346
186,100119,691,213,814,430,752,321,0.56403303,False,675.3850753459096
187,100119,1400,281,1511,466,1455,373,0.5384622,False,257.75181861628056
188,100121,966,334,1116,671,1041,502,0.86931294,False,337.7336228449871
