quarter,time,team,action,points,score,frame_id
2,6:14.0,la_lakers,A. Drummond enters the game for L. James,,35-30,
2,6:14.0,la_lakers,D. Schröder enters the game for K. Kuzma,,35-30,
2,6:04.0,golden_state,J. Poole makes 2-pt layup from 2 ft,+2,37-30,
2,5:54.0,la_lakers,A. Davis misses 3-pt jump shot from 26 ft,,37-30,
2,5:50.0,golden_state,Defensive rebound by S. Curry,,37-30,
2,5:44.0,golden_state,Shooting foul by A. Drummond (drawn by S. Curry),,37-30,
2,5:44.0,golden_state,S. Curry makes free throw 1 of 2,+1,38-30,
2,5:44.0,golden_state,S. Curry misses free throw 2 of 2,,38-30,
2,5:41.0,la_lakers,Defensive rebound by A. Drummond,,38-30,
2,5:28.0,la_lakers,Turnover by D. Schröder (bad pass; steal by D. Green),,38-30,
2,5:24.0,la_lakers,Violation by Team (kicked ball),,38-30,
2,5:15.0,golden_state,K. Bazemore misses 2-pt layup from 4 ft (block by A. Drummond),,38-30,
2,5:13.0,la_lakers,Defensive rebound by A. Davis,,38-30,
2,5:10.0,la_lakers,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,38-30,
2,5:07.0,la_lakers,Offensive rebound by K. Caldwell-Pope,,38-30,
2,5:01.0,la_lakers,Turnover by K. Caldwell-Pope (bad pass; steal by K. Bazemore),,38-30,
2,4:56.0,golden_state,J. Poole makes 2-pt layup from 3 ft,+2,40-30,
2,4:36.0,la_lakers,A. Caruso makes 3-pt jump shot from 23 ft (assist by D. Schröder),+3,40-33,
2,4:16.0,golden_state,K. Bazemore misses 2-pt hook shot from 6 ft,,40-33,
2,4:14.0,la_lakers,Defensive rebound by A. Drummond,,40-33,
2,4:13.0,la_lakers,Offensive foul by A. Davis (drawn by D. Green),,40-33,
2,4:13.0,la_lakers,Turnover by A. Davis (offensive foul),,40-33,
2,4:13.0,la_lakers,Technical foul by A. Davis,,40-33,
2,4:13.0,golden_state,Technical foul by J. Poole,,40-33,
2,4:13.0,golden_state,A. Wiggins enters the game for K. Bazemore,,40-33,
2,4:13.0,la_lakers,L. James enters the game for A. Drummond,,40-33,
2,4:02.0,golden_state,S. Curry makes 3-pt jump shot from 30 ft,+3,43-33,
2,3:39.0,la_lakers,Personal foul by J. Poole (drawn by A. Caruso),,43-33,
2,3:30.0,la_lakers,A. Davis makes 2-pt jump shot from 16 ft (assist by D. Schröder),+2,43-35,
2,3:17.0,golden_state,S. Curry makes 3-pt jump shot from 29 ft,+3,46-35,
2,2:52.0,la_lakers,A. Davis misses 2-pt jump shot from 16 ft,,46-35,
2,2:48.0,golden_state,Defensive rebound by J. Toscano-Anderson,,46-35,
2,2:44.0,golden_state,J. Toscano-Anderson misses 2-pt layup from 8 ft (block by K. Caldwell-Pope),,46-35,
2,2:42.0,la_lakers,Defensive rebound by L. James,,46-35,
2,2:39.0,la_lakers,D. Schröder misses 3-pt jump shot from 23 ft,,46-35,
2,2:35.0,la_lakers,Offensive rebound by L. James,,46-35,
2,2:33.0,la_lakers,A. Davis misses 2-pt layup from 2 ft (block by D. Green),,46-35,
2,2:33.0,golden_state,Defensive rebound by J. Toscano-Anderson,,46-35,
2,2:25.0,golden_state,S. Curry misses 2-pt layup from 3 ft (block by D. Schröder),,46-35,
2,2:23.0,la_lakers,Defensive rebound by A. Caruso,,46-35,
2,2:20.0,la_lakers,A. Caruso makes 2-pt layup from 3 ft,+2,46-37,
2,1:58.0,golden_state,J. Poole makes 3-pt jump shot from 25 ft (assist by D. Green),+3,49-37,
2,1:57.0,la_lakers,LA Lakers full timeout,,49-37,
2,1:45.0,la_lakers,Personal foul by S. Curry (drawn by A. Davis),,49-37,
2,1:43.0,la_lakers,Personal foul by A. Wiggins (drawn by L. James),,49-37,
2,1:43.0,la_lakers,L. James makes free throw 1 of 2,+1,49-38,
2,1:43.0,la_lakers,L. James misses free throw 2 of 2,,49-38,
2,1:40.0,golden_state,Defensive rebound by J. Poole,,49-38,
2,1:27.0,golden_state,S. Curry misses 3-pt jump shot from 27 ft,,49-38,
2,1:24.0,la_lakers,Defensive rebound by A. Caruso,,49-38,
2,1:06.0,la_lakers,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,49-38,
2,1:01.0,golden_state,Defensive rebound by A. Wiggins,,49-38,
2,0:54.0,golden_state,A. Wiggins misses 2-pt jump shot from 12 ft,,49-38,
2,0:51.0,la_lakers,Defensive rebound by L. James,,49-38,
2,0:48.0,la_lakers,A. Caruso makes 2-pt layup from 1 ft (assist by L. James),+2,49-40,
2,0:29.0,golden_state,J. Toscano-Anderson makes 3-pt jump shot from 30 ft (assist by J. Poole),+3,52-40,
2,0:10.0,la_lakers,D. Schröder makes 2-pt layup from 2 ft,+2,52-42,
2,0:00.0,golden_state,S. Curry makes 3-pt jump shot from 27 ft,+3,55-42,
2,0:01.0,golden_state,Instant Replay (Request: Ruling Stands),,55-42,
2,0:00.0,golden_state,End of 2nd quarter,,,
3,12:00.0,golden_state,Start of 3rd quarter,,,
3,11:49.0,golden_state,K. Bazemore misses 3-pt jump shot from 27 ft,,55-42,
3,11:48.0,la_lakers,Defensive rebound by Team,,55-42,
3,11:48.0,golden_state,Loose ball foul by K. Looney (drawn by A. Drummond),,55-42,
3,11:26.0,la_lakers,Shooting foul by D. Green (drawn by D. Schröder),,55-42,
3,11:26.0,la_lakers,D. Schröder makes free throw 1 of 2,+1,55-43,
3,11:26.0,la_lakers,D. Schröder makes free throw 2 of 2,+1,55-44,
3,11:09.0,golden_state,Turnover by D. Green (bad pass; steal by D. Schröder),,55-44,
3,11:04.0,la_lakers,L. James misses 2-pt jump shot from 10 ft,,55-44,
3,11:02.0,golden_state,Defensive rebound by K. Looney,,55-44,
3,10:57.0,golden_state,K. Bazemore misses 2-pt layup from 3 ft,,55-44,
3,10:54.0,la_lakers,Defensive rebound by A. Davis,,55-44,
3,10:48.0,la_lakers,Shooting foul by S. Curry (drawn by D. Schröder),,55-44,
3,10:48.0,la_lakers,D. Schröder makes free throw 1 of 2,+1,55-45,
3,10:48.0,la_lakers,D. Schröder makes free throw 2 of 2,+1,55-46,
3,10:34.0,golden_state,D. Green misses 2-pt layup from 5 ft (block by L. James),,55-46,
3,10:34.0,la_lakers,Defensive rebound by A. Drummond,,55-46,
3,10:32.0,la_lakers,L. James makes 2-pt layup from 2 ft (assist by A. Drummond),+2,55-48,
3,10:32.0,la_lakers,Shooting foul by A. Wiggins (drawn by L. James),,55-48,
3,10:32.0,golden_state,Golden State full timeout,,55-48,
3,10:32.0,la_lakers,L. James makes free throw 1 of 1,+1,55-49,
3,10:18.0,golden_state,A. Wiggins makes 2-pt layup from 3 ft (assist by D. Green),+2,57-49,
3,9:58.0,la_lakers,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by A. Davis),+2,57-51,
3,9:43.0,golden_state,S. Curry misses 2-pt jump shot from 9 ft,,57-51,
3,9:41.0,la_lakers,Defensive rebound by A. Davis,,57-51,
3,9:31.0,la_lakers,A. Davis misses 3-pt jump shot from 26 ft,,57-51,
3,9:28.0,golden_state,Defensive rebound by K. Bazemore,,57-51,
3,9:18.0,golden_state,Turnover by D. Green (bad pass; steal by K. Caldwell-Pope),,57-51,
3,9:17.0,la_lakers,Shooting foul by D. Green (drawn by K. Caldwell-Pope),,57-51,
3,9:17.0,la_lakers,K. Caldwell-Pope makes free throw 1 of 2,+1,57-52,
3,9:17.0,la_lakers,K. Caldwell-Pope makes free throw 2 of 2,+1,57-53,
3,8:55.0,golden_state,Turnover by D. Green (bad pass; steal by L. James),,57-53,
3,8:47.0,la_lakers,D. Schröder makes 3-pt jump shot from 26 ft (assist by L. James),+3,57-56,
3,8:37.0,golden_state,Personal foul by A. Davis (drawn by S. Curry),,57-56,
3,8:27.0,golden_state,Shooting foul by D. Schröder (drawn by S. Curry),,57-56,90331
3,8:27.0,golden_state,S. Curry makes free throw 1 of 3,+1,58-56,90331
3,8:27.0,golden_state,S. Curry makes free throw 2 of 3,+1,59-56,90331
3,8:27.0,golden_state,S. Curry makes free throw 3 of 3,+1,60-56,90331
3,8:10.0,la_lakers,A. Davis misses 3-pt jump shot from 24 ft,,60-56,92821
3,8:03.0,la_lakers,Offensive rebound by A. Drummond,,60-56,
3,7:58.0,la_lakers,A. Drummond misses 2-pt layup from 4 ft (block by K. Looney),,60-56,
3,7:56.0,golden_state,Defensive rebound by D. Green,,60-56,
3,7:49.0,golden_state,A. Wiggins makes 2-pt jump shot from 20 ft,+2,62-56,
3,7:30.0,la_lakers,L. James makes 2-pt jump shot from 16 ft,+2,62-58,
3,7:12.0,golden_state,Turnover by S. Curry (bad pass; steal by K. Caldwell-Pope),,62-58,
3,7:00.0,la_lakers,D. Schröder misses 2-pt jump shot from 11 ft,,62-58,
3,6:57.0,golden_state,Defensive rebound by D. Green,,62-58,
3,6:47.0,golden_state,K. Bazemore makes 3-pt jump shot from 23 ft (assist by A. Wiggins),+3,65-58,
3,6:46.0,la_lakers,LA Lakers full timeout,,65-58,
3,6:46.0,la_lakers,A. Caruso enters the game for L. James,,65-58,
3,6:22.0,la_lakers,A. Caruso misses 2-pt jump shot from 13 ft,,65-58,
3,6:22.0,la_lakers,Offensive rebound by Team,,65-58,
3,6:22.0,la_lakers,Turnover by Team (shot clock),,65-58,
3,6:06.0,golden_state,K. Looney makes 2-pt layup from 4 ft (assist by A. Wiggins),+2,67-58,
3,5:51.0,la_lakers,A. Drummond makes 2-pt hook shot from 3 ft,+2,67-60,
3,5:34.0,golden_state,S. Curry misses 2-pt jump shot from 6 ft,,67-60,
3,5:31.0,golden_state,Offensive rebound by K. Looney,,67-60,
3,5:31.0,golden_state,K. Looney makes 2-pt layup at rim,+2,69-60,
3,5:16.0,la_lakers,Turnover by A. Drummond (lost ball; steal by K. Bazemore),,69-60,
3,5:16.0,golden_state,Personal take foul by D. Schröder (drawn by K. Bazemore),,69-60,
3,5:16.0,golden_state,M. Mulder enters the game for K. Looney,,69-60,
3,5:16.0,golden_state,J. Toscano-Anderson enters the game for A. Wiggins,,69-60,
3,5:16.0,la_lakers,K. Kuzma enters the game for A. Drummond,,69-60,
3,5:16.0,la_lakers,W. Matthews enters the game for D. Schröder,,69-60,
3,5:07.0,golden_state,S. Curry makes 3-pt jump shot from 29 ft (assist by D. Green),+3,72-60,
3,4:56.0,la_lakers,Turnover by A. Caruso (lost ball; steal by K. Bazemore),,72-60,
3,4:52.0,golden_state,Turnover by S. Curry (lost ball; steal by A. Caruso),,72-60,
3,4:46.0,la_lakers,W. Matthews makes 3-pt jump shot from 25 ft (assist by A. Caruso),+3,72-63,
3,4:32.0,golden_state,Personal foul by K. Caldwell-Pope (drawn by S. Curry),,72-63,
3,4:27.0,golden_state,D. Green misses 2-pt layup from 4 ft (block by A. Davis),,72-63,
3,4:25.0,la_lakers,Defensive rebound by K. Kuzma,,72-63,
3,4:14.0,la_lakers,A. Davis makes 2-pt jump shot from 5 ft (assist by K. Caldwell-Pope),+2,72-65,
3,4:14.0,la_lakers,Shooting foul by K. Bazemore (drawn by A. Davis),,72-65,
3,4:14.0,la_lakers,A. Davis makes free throw 1 of 1,+1,72-66,
3,3:59.0,golden_state,S. Curry makes 2-pt layup from 4 ft (assist by K. Bazemore),+2,74-66,104461
3,3:59.0,la_lakers,Violation by Team (def goaltending),,74-66,104461
3,3:45.0,la_lakers,W. Matthews misses 3-pt jump shot from 27 ft,,74-66,105121
3,3:41.0,golden_state,Defensive rebound by S. Curry,,74-66,
3,3:34.0,golden_state,Turnover by S. Curry (back court),,74-66,106111
3,3:13.0,la_lakers,A. Davis misses 2-pt jump shot from 14 ft,,74-66,106891
