,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name,cx,cy,area,dx,dy,d_area,magnitude
115,2128,1585,399,1620,428,0.5428327,37,sports ball,1602.5,413.5,1015,6.403201169858314,-2.275647474581999,209.0,6.79555418271728
116,2130,1551,410,1580,440,0.57651913,37,sports ball,1565.5,425.0,870,-1.2544174816984992,0.389886514581966,-145.0,1.31361132480033
117,2131,1532,422,1562,451,0.6050602,37,sports ball,1547.0,436.5,870,-0.6272087408492496,0.389886514581966,0.0,0.7385135739108487
118,2133,1515,434,1543,461,0.75701016,37,sports ball,1529.0,447.5,756,-0.6546536707079771,0.40006613209931935,-114.0,0.7672185729140937
119,2134,1498,447,1527,474,0.7894617,37,sports ball,1512.5,460.5,783,-0.5896618941607872,0.4645820984297111,27.0,0.7506914649885406
120,2135,1480,458,1508,485,0.8164427,37,sports ball,1494.0,471.5,756,-0.6728384948943098,0.40006613209931935,-27.0,0.7827927888429672
121,2136,1462,472,1492,502,0.739183,37,sports ball,1477.0,487.0,900,-0.5666666666666667,0.5166666666666667,144.0,0.7668478046884893
122,2137,1448,489,1474,515,0.65528667,37,sports ball,1461.0,502.0,676,-0.6153846153846154,0.5769230769230769,-224.0,0.8435273922869734
123,2143,1416,355,1524,459,0.6238717,37,sports ball,1470.0,407.0,11232,0.08492077756084468,-0.8963859853644717,10556.0,0.9003995630937264
124,2145,1377,500,1406,528,0.609472,37,sports ball,1391.5,514.0,812,-2.754809944898616,3.754963873938241,-10420.0,4.657116224348883
125,2146,1374,488,1401,514,0.70857376,37,sports ball,1387.5,501.0,702,-0.15097027121927944,-0.4906533814626582,-110.0,0.5133544229212051
126,2147,1370,475,1398,500,0.5357742,37,sports ball,1384.0,487.5,700,-0.13228756555322954,-0.5102520385624568,-2.0,0.527121563642717
127,2148,1368,464,1395,490,0.5670074,37,sports ball,1381.5,477.0,702,-0.09435641951204965,-0.39629696195060854,2.0,0.4073750310885732
128,2154,1423,356,1520,460,0.8691179,37,sports ball,1471.5,408.0,10088,0.8960659458002179,-0.686983891780167,9386.0,1.1291063044675038
129,2165,1419,356,1517,461,0.87595963,37,sports ball,1468.0,408.5,10290,-0.03450327796711771,0.004929039709588245,202.0,0.034853574033876185
130,2173,1329,515,1354,538,0.7024814,37,sports ball,1341.5,526.5,575,-5.275414675643992,4.920940171746964,-9715.0,7.21426726521225
131,2174,1329,515,1353,539,0.50324494,37,sports ball,1341.0,527.0,576,-0.020833333333333332,0.020833333333333332,1.0,0.02946278254943948
132,2176,1420,356,1516,461,0.86104256,37,sports ball,1468.0,408.5,10080,1.2649502782122333,-1.1802882517177138,9504.0,1.730080796810387
133,2180,1326,464,1352,487,0.58842856,37,sports ball,1339.0,475.5,598,-5.275202289706473,2.739833747366928,-9482.0,5.944278607243701
134,2181,1328,457,1351,478,0.6955575,37,sports ball,1339.5,467.5,483,0.022750787759664503,-0.36401260415463205,-115.0,0.3647228733259297
135,2182,1327,451,1352,474,0.6667835,37,sports ball,1339.5,462.5,575,0.0,-0.20851441405707477,92.0,0.20851441405707477
136,2183,1328,446,1353,470,0.6111335,37,sports ball,1340.5,458.0,600,0.040824829046386304,-0.18371173070873836,25.0,0.18819316317727025
137,2184,1329,442,1353,466,0.61573106,37,sports ball,1341.0,454.0,576,0.020833333333333332,-0.16666666666666666,-24.0,0.1679637030895531
138,2185,1330,442,1353,466,0.5226633,37,sports ball,1341.5,454.0,552,0.021281413268968714,0.0,-24.0,0.021281413268968714
139,2187,1417,356,1516,461,0.8537476,37,sports ball,1466.5,408.5,10395,1.2260205965343745,-0.4462714971385123,9843.0,1.3047163493590292
140,2188,1316,472,1340,498,0.8348804,37,sports ball,1328.0,485.0,624,-5.544437325501142,3.0624509415222914,-9771.0,6.333986977065948
141,2189,1310,491,1335,516,0.7981844,37,sports ball,1322.5,503.5,625,-0.22,0.74,1.0,0.7720103626247513
142,2192,1302,490,1327,515,0.75566065,37,sports ball,1314.5,502.5,625,-0.32,-0.04,0.0,0.322490309931942
143,2193,1302,475,1327,502,0.78083795,37,sports ball,1314.5,488.5,675,0.0,-0.5388602512436507,50.0,0.5388602512436507
144,2194,1303,465,1328,490,0.82615787,37,sports ball,1315.5,477.5,625,0.04,-0.44,-50.0,0.44181444068749043
145,2195,1303,452,1329,478,0.73853475,37,sports ball,1316.0,465.0,676,0.019230769230769232,-0.4807692307692308,51.0,0.48115369243064626
146,2196,1303,444,1329,469,0.79419136,37,sports ball,1316.0,456.5,650,0.0,-0.3333974297349129,-26.0,0.3333974297349129
147,2197,1305,436,1330,458,0.5309504,37,sports ball,1317.5,447.0,550,0.06396021490668312,-0.4050813610756598,-100.0,0.41009976613236215
148,2198,1418,354,1515,458,0.88103163,37,sports ball,1466.5,406.0,10088,1.4834869547136942,-0.4082078197534326,9538.0,1.538625090434171
149,2199,1307,428,1331,450,0.80058837,37,sports ball,1319.0,439.0,528,-6.419113563366357,1.4361406616345072,-9560.0,6.577805024428281
150,2200,1308,419,1333,445,0.77699524,37,sports ball,1320.5,432.0,650,0.058834840541455206,-0.27456258919345766,122.0,0.2807955730529843
151,2201,1308,411,1334,439,0.7890435,37,sports ball,1321.0,425.0,728,0.01853123291652753,-0.2594372608313854,78.0,0.2600982485544624
152,2203,1309,406,1337,430,0.6115179,37,sports ball,1323.0,418.0,672,0.07715167498104596,-0.2700308624336608,-56.0,0.28083633600203445
153,2209,1418,351,1515,454,0.8590308,37,sports ball,1466.5,402.5,9991,1.4356461862084187,-0.15506979711658878,9319.0,1.4439967499799151
154,2211,1313,411,1337,434,0.6045332,37,sports ball,1325.0,422.5,552,-6.022639955118146,0.8512565307587486,-9439.0,6.0825019284949615
155,2212,1313,414,1336,439,0.6191421,37,sports ball,1324.5,426.5,575,-0.020851441405707476,0.1668115312456598,23.0,0.1681096950363583
156,2213,1312,420,1336,444,0.76591384,37,sports ball,1324.0,432.0,576,-0.020833333333333332,0.22916666666666666,1.0,0.2301116878580679
157,2214,1311,428,1337,452,0.5961408,37,sports ball,1324.0,440.0,624,0.0,0.32025630761017426,48.0,0.32025630761017426
158,2216,1311,445,1337,469,0.60884,37,sports ball,1324.0,457.0,624,0.0,0.6805446536716203,0.0,0.6805446536716203
159,2217,1312,454,1336,478,0.6067234,37,sports ball,1324.0,466.0,576,0.0,0.375,-48.0,0.375
160,2221,1416,344,1515,447,0.75680804,37,sports ball,1465.5,395.5,10197,1.4012648568276063,-0.6981566954512102,9621.0,1.5655561217610328
161,2223,1311,504,1335,527,0.6077494,37,sports ball,1323.0,515.5,552,-6.065202781656084,5.107539184552492,-9645.0,7.9292900882959145
162,2224,1313,518,1338,543,0.686742,37,sports ball,1325.5,530.5,625,0.1,0.6,73.0,0.6082762530298219
163,2225,1313,523,1339,547,0.5601278,37,sports ball,1326.0,535.0,624,0.02001601922563589,0.18014417303072303,-1.0,0.18125276302049606
164,2226,1315,513,1340,536,0.6424031,37,sports ball,1327.5,524.5,575,0.06255432421712243,-0.43788026951985703,-49.0,0.44232586846469146
165,2230,1321,475,1346,499,0.5194727,37,sports ball,1333.5,487.0,600,0.24494897427831783,-1.5309310892394863,25.0,1.5504031733713655
166,2232,1421,337,1514,439,0.77112025,37,sports ball,1467.5,388.0,9486,1.3758251314485908,-1.0164678209956006,8886.0,1.7105851698892622
167,2237,1307,483,1332,506,0.6625338,37,sports ball,1319.5,494.5,575,-6.172026656089413,4.441357019415692,-8911.0,7.603917754512558
168,2238,1299,494,1325,517,0.7891283,37,sports ball,1312.0,505.5,598,-0.306697807541074,0.4498234510602419,23.0,0.5444306037267261
169,2242,1284,499,1310,521,0.7550209,37,sports ball,1297.0,510.0,572,-0.6271815075053181,0.1881544522515954,-26.0,0.6547967175076104
170,2243,1417,328,1512,432,0.7996234,37,sports ball,1464.5,380.0,9880,1.6851413641009612,-1.3078709094514922,9308.0,2.133126281492383
171,2244,1284,489,1310,511,0.7111435,37,sports ball,1297.0,500.0,572,-7.003526833809385,5.017452060042545,-9308.0,8.615347543002155
172,2245,1286,479,1310,501,0.8105873,37,sports ball,1298.0,490.0,528,0.04351941398892446,-0.4351941398892446,-44.0,0.4373646976927594
173,2246,1288,469,1312,492,0.8403193,37,sports ball,1300.0,480.5,552,0.08512565307587486,-0.4043468521104056,24.0,0.41321030193254915
174,2247,1289,461,1315,484,0.7689099,37,sports ball,1302.0,472.5,598,0.08178608201095307,-0.32714432804381227,46.0,0.3372126548365879
175,2248,1292,453,1316,476,0.6269592,37,sports ball,1304.0,464.5,552,0.08512565307587486,-0.34050261230349943,-46.0,0.350982059081517
176,2249,1294,448,1317,470,0.7135717,37,sports ball,1305.5,459.0,506,0.06668313367115805,-0.24450482346091287,-46.0,0.25343490093485094
177,2250,1297,440,1323,465,0.72974575,37,sports ball,1310.0,452.5,650,0.17650452162436564,-0.25495097567963926,144.0,0.31008683647302115
178,2251,1300,437,1327,461,0.76359963,37,sports ball,1313.5,449.0,648,0.13749298523071757,-0.13749298523071757,-2.0,0.19444444444444442
179,2252,1304,435,1329,458,0.5683045,37,sports ball,1316.5,446.5,575,0.12510864843424485,-0.10425720702853739,-73.0,0.16285496348111342
180,2254,1416,320,1510,426,0.7357086,37,sports ball,1463.0,373.0,9964,1.467644141327202,-0.7363265828501661,9389.0,1.6419976133307448
181,2256,1312,436,1337,458,0.64510256,37,sports ball,1324.5,447.0,550,-5.905659843050408,3.155370602063034,-9414.0,6.695758494612974
182,2258,1308,466,1333,493,0.6590503,37,sports ball,1320.5,479.5,675,-0.1539600717839002,1.2509255832441892,125.0,1.2603644387709925
183,2259,1305,485,1329,509,0.7635373,37,sports ball,1317.0,497.0,576,-0.14583333333333334,0.7291666666666666,-99.0,0.7436070123989478
184,2260,1301,501,1327,528,0.8061207,37,sports ball,1314.0,514.5,702,-0.11322770341445958,0.6604949365843475,126.0,0.6701298934341566
185,2261,1303,489,1328,513,0.86602956,37,sports ball,1315.5,501.0,600,0.06123724356957946,-0.5511351921262151,-102.0,0.5545268253204708
186,2262,1305,474,1330,498,0.78675085,37,sports ball,1317.5,486.0,600,0.08164965809277261,-0.6123724356957946,0.0,0.6177917664283546
187,2263,1307,462,1331,486,0.6513729,37,sports ball,1319.0,474.0,576,0.0625,-0.5,-24.0,0.5038911092686593
188,2264,1306,447,1332,473,0.669758,37,sports ball,1319.0,460.0,676,0.0,-0.5384615384615384,100.0,0.5384615384615384
189,2265,1418,312,1510,414,0.6745611,37,sports ball,1464.0,363.0,9384,1.4968352519652928,-1.0013311685560924,8708.0,1.8008830835587053
190,2266,1308,438,1331,461,0.5795087,37,sports ball,1319.5,449.5,529,-6.282608695652174,3.760869565217391,-8855.0,7.322247736130127
191,2276,1414,306,1510,410,0.74024403,37,sports ball,1462.0,358.0,9984,1.4261413698265573,-0.915732879572842,9455.0,1.6948291694036712
192,2283,1273,449,1296,475,0.752218,37,sports ball,1284.5,462.0,598,-7.258514778472085,4.25287626456956,-9386.0,8.41266862006562
193,2284,1270,464,1296,490,0.77721757,37,sports ball,1283.0,477.0,676,-0.057692307692307696,0.5769230769230769,78.0,0.5798005166031281
194,2285,1270,480,1295,506,0.73408204,37,sports ball,1282.5,493.0,650,-0.019611613513818404,0.6275716324421889,-26.0,0.627877989127481
195,2286,1275,471,1299,494,0.76667154,37,sports ball,1287.0,482.5,552,0.19153271942071845,-0.446909678648343,-98.0,0.48622324448576176
196,2287,1415,301,1511,404,0.723609,37,sports ball,1463.0,352.5,9888,1.7699395707600853,-1.3073417284023356,9336.0,2.2004155241600167
197,2288,1281,458,1307,480,0.60711235,37,sports ball,1294.0,469.0,572,-7.0662449845599165,4.8711097082913035,-9316.0,8.582512917090655
198,2289,1287,445,1312,467,0.52724093,37,sports ball,1299.5,456.0,550,0.23452078799117146,-0.554321862524587,-22.0,0.6018909596203678
