,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name
240,2642,1282,832,1384,939,0.9403662,37,sports ball
241,2653,1287,769,1389,864,0.8797526,37,sports ball
242,2665,1297,698,1396,794,0.8000976,37,sports ball
243,2687,1312,566,1413,675,0.71201724,37,sports ball
244,2698,1321,530,1425,633,0.85037076,37,sports ball
245,2709,1330,494,1429,603,0.77946085,37,sports ball
246,2720,1342,465,1440,571,0.8198142,37,sports ball
247,2731,1343,436,1450,539,0.7440268,37,sports ball
248,2742,1351,411,1455,510,0.78674704,37,sports ball
249,2753,1356,395,1462,497,0.75101584,37,sports ball
250,2764,1360,380,1464,484,0.87469333,37,sports ball
251,2776,1363,375,1467,482,0.8721445,37,sports ball
252,2787,1362,378,1468,487,0.8684579,37,sports ball
253,2798,1360,397,1464,499,0.8797751,37,sports ball
254,2809,1358,424,1459,521,0.8177407,37,sports ball
255,2820,1354,446,1454,561,0.6102962,37,sports ball
256,2826,1406,557,1558,702,0.8727371,37,sports ball
257,2827,1417,565,1570,709,0.8730546,37,sports ball
258,2828,1423,585,1575,724,0.8732131,37,sports ball
259,2829,1423,606,1578,747,0.72088456,37,sports ball
260,2830,1426,653,1576,793,0.879472,37,sports ball
261,2832,1432,728,1581,867,0.8726003,37,sports ball
262,2833,1438,811,1587,956,0.904119,37,sports ball
263,2834,1443,921,1590,1048,0.9217657,37,sports ball
264,2837,1434,958,1579,1075,0.8262086,37,sports ball
265,2838,1420,871,1564,1002,0.90987885,37,sports ball
266,2839,1405,785,1546,919,0.915554,37,sports ball
267,2840,1389,720,1530,847,0.883201,37,sports ball
268,2841,1378,659,1514,792,0.7726,37,sports ball
269,2843,1376,607,1503,740,0.7996467,37,sports ball
270,2844,1372,587,1502,712,0.8461899,37,sports ball
271,2845,1379,566,1504,690,0.805626,37,sports ball
272,2846,1383,547,1507,666,0.593636,37,sports ball
273,2847,1390,522,1513,642,0.79837626,37,sports ball
274,2848,1404,506,1524,618,0.7444416,37,sports ball
275,2850,1423,463,1545,582,0.7285783,37,sports ball
276,2851,1437,449,1555,569,0.7242558,37,sports ball
277,2852,1447,459,1566,564,0.6258489,37,sports ball
278,2854,1463,473,1573,563,0.8391051,37,sports ball
279,2855,1471,472,1579,565,0.897349,37,sports ball
280,2856,1473,479,1584,580,0.84478086,37,sports ball
281,2857,1473,495,1584,603,0.76525223,37,sports ball
282,2858,1475,518,1584,628,0.76601535,37,sports ball
283,2859,1474,562,1581,662,0.68669873,37,sports ball
284,2863,1483,910,1589,1013,0.8824365,37,sports ball
285,2865,1468,844,1574,933,0.73580897,37,sports ball
286,2866,1445,761,1554,880,0.8309375,37,sports ball
287,2867,1446,702,1538,801,0.6417399,37,sports ball
288,2868,1421,641,1522,756,0.7666415,37,sports ball
289,2871,1418,488,1541,611,0.79189104,37,sports ball
290,2875,1363,828,1464,930,0.76253635,37,sports ball
291,2887,1369,753,1466,838,0.5917449,37,sports ball
292,2908,1227,538,1301,606,0.5217464,37,sports ball
293,2909,1374,579,1478,687,0.73453796,37,sports ball
294,2911,1155,489,1223,553,0.7141433,37,sports ball
295,2912,1140,463,1204,534,0.7298481,37,sports ball
296,2913,1125,448,1191,517,0.76715,37,sports ball
297,2914,1113,423,1189,502,0.8047138,37,sports ball
298,2916,1091,402,1169,480,0.5632459,37,sports ball
299,2917,844,460,913,530,0.7092743,37,sports ball
300,2917,1078,398,1157,471,0.5969921,37,sports ball
301,2918,1065,388,1142,465,0.77743393,37,sports ball
302,2918,887,463,968,539,0.62417865,37,sports ball
303,2919,1056,379,1132,462,0.89050585,37,sports ball
304,2920,1367,523,1473,633,0.8130341,37,sports ball
305,2931,1360,476,1466,593,0.8466951,37,sports ball
306,2942,1349,451,1451,556,0.8039234,37,sports ball
307,2953,1333,418,1435,525,0.801643,37,sports ball
308,2975,1294,399,1402,501,0.8609014,37,sports ball
309,2980,787,12,825,52,0.5053927,37,sports ball
310,2981,772,33,811,72,0.5365125,37,sports ball
311,2982,759,51,796,90,0.7518346,37,sports ball
312,2983,744,70,780,109,0.51627475,37,sports ball
313,2984,730,88,766,125,0.7217091,37,sports ball
314,2985,714,105,751,144,0.6088147,37,sports ball
315,2986,1267,400,1376,504,0.7794302,37,sports ball
316,2987,697,124,734,162,0.6671646,37,sports ball
317,2988,683,143,718,180,0.6199167,37,sports ball
318,2989,667,162,702,195,0.621818,37,sports ball
319,2990,653,181,683,222,0.60514474,37,sports ball
320,2998,1238,413,1348,509,0.73108435,37,sports ball
